id,strLocation,latitude,longitude,city,state,zip,Store
13473-107465,32nd & Range Line,37.052427,-94.47894,Joplin,MO,64804,Starbucks
76533-100210,Target Joplin T-774,37.085213,-94.473855,Joplin,MO,64801,Starbucks
9566-96850,3rd & Range Line,37.088028,-94.477036,Joplin,MO,64801,Starbucks
22191-212244,St. Louis Premium Outlets,38.6441,-90.631922,Chesterfield,MO,63005,Starbucks
7994-95384,Taylor & Manchester,38.582168,-90.62803,Wildwood,MO,63040,Starbucks
2475-26307,Chesterfield Commons,38.668893,-90.598707,Chesterfield,MO,63005,Starbucks
9990-97365,SR-K & Weldon Spring,38.719165,-90.702123,O'Fallon,MO,63368,Starbucks
3983-147373,Target Chesterfield T-1353,38.667496,-90.58528,Chesterfield,MO,63005,Starbucks
2522-29295,Clarkson & Baxter,38.642236,-90.566251,Chesterfield,MO,63017,Starbucks
60649-293209,Target Ballwin T-26,38.594702,-90.547168,Ballwin,MO,63011,Starbucks
2731-80700,Hwy 94 & Mid Rivers,38.742575,-90.634933,St. Peters,MO,63304,Starbucks
2654-35719,Manchester & Ries,38.592668,-90.543014,Ballwin,MO,63011,Starbucks
24258-234464,Town and Country Crossing,38.621897,-90.519156,Town and Country,MO,63017,Starbucks
76922-90446,Target Chesterfield/T & C T-1952,38.620325,-90.51782,Chesterfield,MO,63011,Starbucks
76593-97973,Target O'Fallon/Dardenne T-2103,38.765965,-90.76348,Dardenne Prarie,MO,63368,Starbucks
20792-208088,Target O'Fallon T-1241,38.777365,-90.699916,O'Fallon,MO,63368,Starbucks
55854-286602,Maryville University Library,38.642129,-90.50546,St. Louis,MO,63141,Starbucks
10382-95369,SR-K & Laura Hill Rd,38.780908,-90.698979,O'Fallon,MO,63366,Starbucks
11804-106463,SR-N & Hawk Ridge,38.768313,-90.784308,Lake St. Louis,MO,63367,Starbucks
2294-129764,Manchester & Braeshire Rd,38.593296,-90.497397,Manchester,MO,63011,Starbucks
29096-252168,Olive & Woodsmill - Chesterfield,38.679466,-90.499765,Chesterfield,MO,63141,Starbucks
2421-12978,Clayton Rd & Mason,38.626669,-90.481796,Town and Country,MO,63131,Starbucks
2697-83068,Mexico & Mid Rivers Mall Dr,38.788638,-90.626344,St. Peters,MO,63376,Starbucks
10563-100589,Hwy 141 & I-44,38.536537,-90.496534,Valley Park,MO,63088,Starbucks
11187-100134,Big Bend & Dougherty Ferry,38.568662,-90.475045,St. Louis,MO,63122,Starbucks
27882-242003,Dierbergs @ Des Peres,38.600714,-90.434841,Des Peres,MO,63131,Starbucks
48510-260208,Dierbergs West Oak Creve Coeur Sbux,38.671366,-90.435839,Creve Coeur,MO,63141,Starbucks
2304-1737,Olive & Craig,38.67086,-90.435083,Creve Coeur,MO,63141,Starbucks
65938-299726,Westport Plaza,38.70145,-90.44596,St. Louis,MO,63146,Starbucks
9917-97040,5th & Boonslick,38.773805,-90.49057,St. Charles,MO,63301,Starbucks
52036-274106,Lindenwood Univ Library & Src,38.785259,-90.497121,St. Charles,MO,63301,Starbucks
29445-253768,Page & Ball,38.698926,-90.420625,Maryland Heights,MO,63146,Starbucks
7995-95377,Lindbergh & Clayton,38.632516,-90.404716,Ladue,MO,63131,Starbucks
2293-1624,Kirkwood Pioneer Place,38.577433,-90.40685,Kirkwood,MO,63122,Starbucks
56947-289485,Target Fenton T-1314,38.502843,-90.447719,Fenton,MO,63026,Starbucks
8695-91420,Hwy. 141 & Gravois,38.50795,-90.442786,Fenton,MO,63026,Starbucks
28185-250364,Watson and Lindbergh,38.555392,-90.410683,Sunset Hills,MO,63127,Starbucks
11052-101175,Wentzville & I 70,38.818386,-90.878335,Wentzville,MO,63385,Starbucks
51885-278774,Target Kirkwood T-1279,38.565266,-90.403998,Kirkwood,MO,63122,Starbucks
76856-110956,Target Wentzville T-2345,38.819498,-90.880715,Wentzville,MO,63385,Starbucks
62677-294729,Natural Bridge & St Charles Rock Rd,38.756198,-90.431058,Bridgeton,MO,63044,Starbucks
76794-108111,Target Washington T-2255,38.534751,-90.981676,Washington,MO,63090,Starbucks
15517-156745,Target Bridgeton T-12,38.753542,-90.426063,Bridgeton,MO,63044,Starbucks
47442-258184,Lindbergh & St Charles Rock Rd,38.736533,-90.397653,St. Ann,MO,63074,Starbucks
10745-113345,Watson & Old Sappington,38.55701,-90.381166,Crestwood,MO,63126,Starbucks
13811-104789,Manchester & McKnight,38.608635,-90.367444,St. Louis,MO,63119,Starbucks
9918-66644,Brentwood & White,38.619625,-90.348074,Brentwood,MO,63144,Starbucks
3893-146067,Target Brentwood T-1102,38.627941,-90.342718,Brentwood,MO,63144,Starbucks
27883-242002,Dierbergs @ Brentwood Pointe,38.629191,-90.340245,St. Louis,MO,63144,Starbucks
2441-19379,Tesson Ferry,38.508189,-90.375378,St. Louis,MO,63128,Starbucks
2379-9732,Forsyth & N Central,38.650325,-90.337899,Clayton,MO,63105,Starbucks
72363-6130,STL Terminal 1 Gate A5,38.744088,-90.367636,St. Louis,MO,63145,Starbucks
2405-14530,Webster Groves,38.590771,-90.339358,Webster Groves,MO,63119,Starbucks
75707-94924,STL Terminal 1 Gate C2,38.742245,-90.364256,St. Louis,MO,63145,Starbucks
11729-105547,Delmar & North & South,38.659093,-90.337281,University City,MO,63130,Starbucks
51715-278585,STL Terminal 2 Gate E29,38.737736,-90.356755,St. Louis,MO,63145,Starbucks
75700-94925,STL Terminal 2 Gate E18,38.737365,-90.35545,St. Louis,MO,63145,Starbucks
2463-23389,Hanley & Wydown,38.64329,-90.334723,Clayton,MO,63105,Starbucks
53585-285788,Hanley & Dale,38.62831,-90.332838,Richmond Heights,MO,63117,Starbucks
23826-232925,Gravois and Rock Hill-Affton,38.551115,-90.333695,Affton,MO,63123,Starbucks
51886-278775,Target Saint Louis T-1509,38.506698,-90.339841,St. Louis,MO,63128,Starbucks
10383-96611,Chippewa & Lansdowne,38.590674,-90.305069,St. Louis,MO,63109,Starbucks
25392-232324,Cheshire Inn - Market,38.633246,-90.305576,St. Louis,MO,63117,Starbucks
2311-1627,Delmar Loop,38.656224,-90.306203,University City,MO,63130,Starbucks
16249-162125,Arnold Crossroads,38.444692,-90.374671,Arnold,MO,63010,Starbucks
21140-206804,Lindbergh and Lemay Ferry,38.506841,-90.326508,St. Louis,MO,63125,Starbucks
