address,longitude,city,state,zip,Store,latitude
2400 Missouri 291 MO 64057,-94.379703,Independence,MO,64055,Dunkin',39.0750010
3996 Jeffco Blvd MO 63010,-90.376802,Arnold,MO,63010,McDonald's,38.405690
130 Arnold Crossroads Ctr MO 63010,-90.374454,Arnold,MO,63010,McDonald's,38.4454941
2201 Michigan Ave MO 63010,-90.377478,Arnold,MO,63010,McDonald's,38.437042
2005 Richardson Rd MO 63010,-90.390784,Arnold,MO,63010,McDonald's,38.4183793
1500 Sw State Route 7 MO 64014,-94.271045,Blue Springs,MO,64014,McDonald's,39.0359758
814 Nw State Route 7 MO 64014,-94.271318,Blue Springs,MO,64014,McDonald's,39.0280589
4491 Sw State Route 7 MO 64014,-94.252933,Blue Springs,MO,64014,McDonald's,39.0056910
1515 Nw Woods Chapel Rd MO 64015,-94.305986,Blue Springs,MO,64015,McDonald's,39.03313511
920 SW US Highway 40 MO 64015,-94.276729,Blue Springs,MO,64015,McDonald's,39.00886812
515 W Main St MO 65616,-93.22273,Branson,MO,65616,McDonald's,36.64441318
2214 W 76 Country Blvd MO 65616,-93.263875,Branson,MO,65616,McDonald's,36.64117619
1361 State Highway 248 MO 65616,-93.240089,Branson,MO,65616,McDonald's,36.66360920
140 Corporate Pl MO 65616,-93.21818,Branson,MO,65616,McDonald's,36.68768321
1925 Broadway St MO 63701,-89.54475500000002,Cape Girardeau,MO,63701,McDonald's,37.31304926
3419 William St MO 63701,-89.583526,Cape Girardeau,MO,63701,McDonald's,37.30270327
528 Helena St MO 63701,-89.545998,Cape Girardeau,MO,63701,McDonald's,37.31203428
W Park Mall MO 63703,-89.574442,Cape Girardeau,MO,63703,McDonald's,37.29893229
2812 Hazel St MO 64836,-94.319482,Carthage,MO,64836,McDonald's,37.14013834
1111 W Central Ave MO 64836,-94.324652,Carthage,MO,64836,McDonald's,37.17872635
Jackson St MO 64601,-93.551076,Chillicothe,MO,64601,McDonald's,39.79355338
810 W Business 36 MO 64601,-93.588876,Chillicothe,MO,64601,McDonald's,39.79522539
415 Conley Rd MO 65201,-92.296588,Columbia,MO,65201,McDonald's,38.95490142
909 Lowry St MO 65201,-92.327482,Columbia,MO,65201,McDonald's,38.94518943
500 E Nifong Blvd MO 65201,-92.332705,Columbia,MO,65201,McDonald's,38.90955444
3206 Clark Ln MO 65202,-92.289921,Columbia,MO,65202,McDonald's,38.96325445
1012 Smiley Ln MO 65202,-92.324348,Columbia,MO,65202,McDonald's,38.99274546
205 Basin Dr MO 65203,-92.381953,Columbia,MO,65203,McDonald's,38.95920947
119 Crown Hill Rd MO 64024,-94.249017,Excelsior Springs,MO,64024,McDonald's,39.3387020000000154
2221 Happy Ln MO 64024,-94.274632,Excelsior Springs,MO,64024,McDonald's,39.33260155
1700 W Columbia St MO 63640,-90.446821,Farmington,MO,63640,McDonald's,37.77110958
207 W Karsch Blvd MO 63640,-90.422852,Farmington,MO,63640,McDonald's,37.78810559
426 Yellowstone Dr MO 63640,-90.430435,Farmington,MO,63640,McDonald's,37.79202560
1150 E Gannon Dr MO 63028,-90.401843,Festus,MO,63028,McDonald's,38.20936964
515 S Truman Blvd MO 63028,-90.387496,Festus,MO,63028,McDonald's,38.21501865
650 S Truman Blvd MO 63028,-90.390964,Festus,MO,63028,McDonald's,38.21271566
12407 Blue Ridge Ext MO 64030,-94.532318,Grandview,MO,64030,McDonald's,38.90042370
5100 Harry Truman Dr MO 64030,-94.533001,Grandview,MO,64030,McDonald's,38.8993471
1865 Highway 13 MO 64037,-93.74083,Higginsville,MO,64037,McDonald's,39.06337474
6676 Hwy 13 MO 64037,-93.7351,Higginsville,MO,64037,McDonald's,39.00356175
11115 E 23rd St S MO 64052,-94.446526,Independence,MO,64052,McDonald's,39.07995378
11700 Us 24 MO 64054,-94.436803,Independence,MO,64054,McDonald's,39.1025179
1401 S Noland Rd MO 64055,-94.413669,Independence,MO,64055,McDonald's,39.07520780
1115 E 23rd St S MO 64055,-94.401387,Independence,MO,64055,McDonald's,39.0785381
11801 E Us-40 MO 64055,-94.441074,Independence,MO,64052,McDonald's,39.04573882
16802 Gudgell Rd MO 64055,-94.379692,Independence,MO,64055,McDonald's,39.07198183
4226 S Noland Rd MO 64055,-94.415641,Independence,MO,64055,McDonald's,39.04318984
18910 Us 40 MO 64055,-94.356519,Independence,MO,64055,McDonald's,39.03211285
4000 Bolger Rd MO 64055,-94.372511,Independence,MO,64055,McDonald's,39.05224786
3921 Bolger Rd MO 64055,-94.365653,Independence,MO,64055,McDonald's,39.04747287
16235 Us 24 E MO 64056,-94.382659,Independence,MO,64056,McDonald's,39.11727788
815 Eastland Dr MO 65101,-92.149665,Jefferson City,MO,65101,McDonald's,38.54953100
219 E Dunklin St MO 65101,-92.174964,Jefferson City,MO,65101,McDonald's,38.57163101
1406 Missouri Blvd MO 65109,-92.193426,Jefferson City,MO,65109,McDonald's,38.579288102
1918 Jefferson St MO 65109,-92.199536,Jefferson City,MO,65109,McDonald's,38.553186103
3124 S 10 Mile Dr MO 65109,-92.235171,Jefferson City,MO,65109,McDonald's,38.580579104
1425 Missouri Blvd MO 65109,-92.195151,Jefferson City,MO,65109,McDonald's,38.579114105
724 W Stadium Blvd MO 65109,-92.219292,Jefferson City,MO,65109,McDonald's,38.580086106
2003 Southridge Dr MO 65109,-92.205236,Jefferson City,MO,65109,McDonald's,38.550733107
1531 W 7th St MO 64801,-94.530685,Joplin,MO,64801,McDonald's,37.084975116
2701 N Main St MO 64801,-94.509544,Joplin,MO,64801,McDonald's,37.114956117
101 N Range Line Rd MO 64801,-94.476993,Joplin,MO,64801,McDonald's,37.090685118
1123 S Range Line Rd MO 64801,-94.477335,Joplin,MO,64801,McDonald's,37.079136119
3330 N Range Line Rd MO 64801,-94.475985,Joplin,MO,64801,McDonald's,37.118959120
2731 S Main St MO 64804,-94.514191,Joplin,MO,64804,McDonald's,37.060157121
1501 S Range Line Rd MO 64804,-94.477141,Joplin,MO,64804,McDonald's,37.073063122
4436 Highway 43 MO 64804,-94.514813,Joplin,MO,64804,McDonald's,37.053437123
3140 Mc Clelland Blvd MO 64804,-94.532755,Joplin,MO,64804,McDonald's,37.055898124
1907 E 20th St MO 64804,-94.493611,Joplin,MO,64804,McDonald's,37.069705125
1100 Main St MO 64105,-94.583561,Kansas City,MO,64105,McDonald's,39.100563136
2301 Holmes St MO 64108,-94.575255,Kansas City,MO,64108,McDonald's,39.084213137
3255 Main St MO 64111,-94.585132,Kansas City,MO,64111,McDonald's,39.066988138
3741 Broadway St MO 64111,-94.590454,Kansas City,MO,64111,McDonald's,39.059615139
500 Nichols Rd MO 64112,-94.594315,Kansas City,MO,64112,McDonald's,39.041656140
7887 State Line Rd MO 64114,-94.607744,Kansas City,MO,64114,McDonald's,38.986046141
