id,strLocation,latitude,longitude,city,state,zip,Store
2400 Missouri 291 MO 64057,0.85,39.075001,-94.379703,Independence,MO,64055,Dunkin'
2400 Missouri 291 MO 64057,0.85,39.075001,-94.379703,Independence,MO,64055,Dunkin'
2400 Missouri 291 MO 64057,0.85,39.075001,-94.379703,Independence,MO,64055,Dunkin'
2400 Missouri 291 MO 64057,0.85,39.075001,-94.379703,Independence,MO,64055,Dunkin'
33 E Lake St IL 60101,1.0,41.931216,-87.987127,Addison,IL,60101,Dunkin'
1750 W Lake St IL 60101,1.0,41.950451,-88.030146,Addison,IL,60101,Dunkin'
33 E Lake St IL 60101,1.0,41.931216,-87.987127,Addison,IL,60101,Dunkin'
1750 W Lake St IL 60101,1.0,41.950451,-88.030146,Addison,IL,60101,Dunkin'
1319 East Algonquin Road IL 60102,1.0,42.161334000000004,-88.276569,Algonquin,IL,60102,Dunkin'
2543 W Algonquin Rd IL 60102,1.0,42.175207,-88.33853,Algonquin,IL,60102,Dunkin'
1319 East Algonquin Road IL 60102,1.0,42.161334000000004,-88.276569,Algonquin,IL,60102,Dunkin'
2543 W Algonquin Rd IL 60102,1.0,42.175207,-88.33853,Algonquin,IL,60102,Dunkin'
4028 W 127th St IL 60803,1.0,41.662231,-87.719755,Alsip,IL,60803,Dunkin'
12150 S Cicero Ave IL 60803,1.0,41.671618,-87.73899899999999,Alsip,IL,60803,Dunkin'
11817 S Pulaski Rd IL 60803,1.0,41.678205,-87.71965300000001,Alsip,IL,60803,Dunkin'
4028 W 127th St IL 60803,1.0,41.662231,-87.719755,Alsip,IL,60803,Dunkin'
12150 S Cicero Ave IL 60803,1.0,41.671618,-87.73899899999999,Alsip,IL,60803,Dunkin'
11817 S Pulaski Rd IL 60803,1.0,41.678205,-87.71965300000001,Alsip,IL,60803,Dunkin'
440 Orchard Street IL 60002,1.0,42.478986,-88.098421,Antioch,IL,60002,Dunkin'
442 Orchard St IL 60002,1.0,42.478896,-88.099041,Antioch,IL,60002,Dunkin'
440 Orchard Street IL 60002,1.0,42.478986,-88.098421,Antioch,IL,60002,Dunkin'
442 Orchard St IL 60002,1.0,42.478896,-88.099041,Antioch,IL,60002,Dunkin'
105 W Dundee Rd IL 60004,1.0,42.138571,-87.96046899999999,Arlington Heights,IL,60004,Dunkin'
1818 West Northwest Highway IL 60004,0.22,42.11278,-87.97954200000001,Arlington Heights,IL,60004,Dunkin'
4204 N Arlington Heights Rd Ste F IL 60004,1.0,42.151816,-87.98534000000001,Arlington Heights,IL,60004,Dunkin'
[700-798] W Dundee Rd IL 60004,1.0,42.139264000000004,-87.99569100000001,Arlington Heights,IL,60004,Dunkin'
1010 E Rand Rd IL 60004,1.0,42.106252000000005,-87.970425,Arlington Heights,IL,60004,Dunkin'
2106 S Arlington Heights Rd IL 60005,1.0,42.047078000000006,-87.983204,Arlington Heights,IL,60005,Dunkin'
