id,strLocation,latitude,longitude,city,state,zip,Store
3996 Jeffco Blvd MO 63010,1.0,38.40569,-90.376802,Arnold,MO,63010,McDonald's
130 Arnold Crossroads Ctr MO 63010,0.88,38.445494000000004,-90.374454,Arnold,MO,63010,McDonald's
2201 Michigan Ave MO 63010,1.0,38.43704,-90.377478,Arnold,MO,63010,McDonald's
2005 Richardson Rd MO 63010,1.0,38.418378999999995,-90.390784,Arnold,MO,63010,McDonald's
3996 Jeffco Blvd MO 63010,1.0,38.40569,-90.376802,Arnold,MO,63010,McDonald's
130 Arnold Crossroads Ctr MO 63010,0.88,38.445494000000004,-90.374454,Arnold,MO,63010,McDonald's
2201 Michigan Ave MO 63010,1.0,38.43704,-90.377478,Arnold,MO,63010,McDonald's
2005 Richardson Rd MO 63010,1.0,38.418378999999995,-90.390784,Arnold,MO,63010,McDonald's
1500 Sw State Route 7 MO 64014,1.0,39.035975,-94.271045,Blue Springs,MO,64014,McDonald's
814 Nw State Route 7 MO 64014,1.0,39.028058,-94.27131800000001,Blue Springs,MO,64014,McDonald's
4491 Sw State Route 7 MO 64014,0.33,39.00569,-94.252933,Blue Springs,MO,64014,McDonald's
1515 Nw Woods Chapel Rd MO 64015,1.0,39.033134999999994,-94.305986,Blue Springs,MO,64015,McDonald's
920 SW US Highway 40 MO 64015,1.0,39.008868,-94.276729,Blue Springs,MO,64015,McDonald's
1500 Sw State Route 7 MO 64014,1.0,39.035975,-94.271045,Blue Springs,MO,64014,McDonald's
814 Nw State Route 7 MO 64014,1.0,39.028058,-94.27131800000001,Blue Springs,MO,64014,McDonald's
4491 Sw State Route 7 MO 64014,0.33,39.00569,-94.252933,Blue Springs,MO,64014,McDonald's
1515 Nw Woods Chapel Rd MO 64015,1.0,39.033134999999994,-94.305986,Blue Springs,MO,64015,McDonald's
920 SW US Highway 40 MO 64015,1.0,39.008868,-94.276729,Blue Springs,MO,64015,McDonald's
515 W Main St MO 65616,1.0,36.644413,-93.22273,Branson,MO,65616,McDonald's
2214 W 76 Country Blvd MO 65616,1.0,36.641176,-93.263875,Branson,MO,65616,McDonald's
1361 State Highway 248 MO 65616,1.0,36.663609,-93.240089,Branson,MO,65616,McDonald's
140 Corporate Pl MO 65616,1.0,36.687683,-93.21818,Branson,MO,65616,McDonald's
515 W Main St MO 65616,1.0,36.644413,-93.22273,Branson,MO,65616,McDonald's
2214 W 76 Country Blvd MO 65616,1.0,36.641176,-93.263875,Branson,MO,65616,McDonald's
1361 State Highway 248 MO 65616,1.0,36.663609,-93.240089,Branson,MO,65616,McDonald's
140 Corporate Pl MO 65616,1.0,36.687683,-93.21818,Branson,MO,65616,McDonald's
1925 Broadway St MO 63701,1.0,37.313049,-89.54475500000001,Cape Girardeau,MO,63701,McDonald's
3419 William St MO 63701,1.0,37.302703,-89.583526,Cape Girardeau,MO,63701,McDonald's
528 Helena St MO 63701,1.0,37.312034000000004,-89.545998,Cape Girardeau,MO,63701,McDonald's
W Park Mall MO 63703,1.0,37.298932,-89.574442,Cape Girardeau,MO,63703,McDonald's
1925 Broadway St MO 63701,1.0,37.313049,-89.54475500000001,Cape Girardeau,MO,63701,McDonald's
3419 William St MO 63701,1.0,37.302703,-89.583526,Cape Girardeau,MO,63701,McDonald's
528 Helena St MO 63701,1.0,37.312034000000004,-89.545998,Cape Girardeau,MO,63701,McDonald's
W Park Mall MO 63703,1.0,37.298932,-89.574442,Cape Girardeau,MO,63703,McDonald's
2812 Hazel St MO 64836,1.0,37.140138,-94.319482,Carthage,MO,64836,McDonald's
1111 W Central Ave MO 64836,0.9,37.178726,-94.324652,Carthage,MO,64836,McDonald's
2812 Hazel St MO 64836,1.0,37.140138,-94.319482,Carthage,MO,64836,McDonald's
1111 W Central Ave MO 64836,0.9,37.178726,-94.324652,Carthage,MO,64836,McDonald's
Jackson St MO 64601,1.0,39.793553,-93.551076,Chillicothe,MO,64601,McDonald's
810 W Business 36 MO 64601,0.33,39.795225,-93.588876,Chillicothe,MO,64601,McDonald's
Jackson St MO 64601,1.0,39.793553,-93.551076,Chillicothe,MO,64601,McDonald's
810 W Business 36 MO 64601,0.33,39.795225,-93.588876,Chillicothe,MO,64601,McDonald's
415 Conley Rd MO 65201,1.0,38.954901,-92.296588,Columbia,MO,65201,McDonald's
909 Lowry St MO 65201,1.0,38.945189,-92.32748199999999,Columbia,MO,65201,McDonald's
500 E Nifong Blvd MO 65201,1.0,38.909554,-92.332705,Columbia,MO,65201,McDonald's
3206 Clark Ln MO 65202,1.0,38.963254,-92.28992099999999,Columbia,MO,65202,McDonald's
1012 Smiley Ln MO 65202,1.0,38.992745,-92.324348,Columbia,MO,65202,McDonald's
205 Basin Dr MO 65203,1.0,38.959209,-92.381953,Columbia,MO,65203,McDonald's
415 Conley Rd MO 65201,1.0,38.954901,-92.296588,Columbia,MO,65201,McDonald's
909 Lowry St MO 65201,1.0,38.945189,-92.32748199999999,Columbia,MO,65201,McDonald's
500 E Nifong Blvd MO 65201,1.0,38.909554,-92.332705,Columbia,MO,65201,McDonald's
3206 Clark Ln MO 65202,1.0,38.963254,-92.28992099999999,Columbia,MO,65202,McDonald's
1012 Smiley Ln MO 65202,1.0,38.992745,-92.324348,Columbia,MO,65202,McDonald's
205 Basin Dr MO 65203,1.0,38.959209,-92.381953,Columbia,MO,65203,McDonald's
119 Crown Hill Rd MO 64024,1.0,39.338702000000005,-94.24901700000001,Excelsior Springs,MO,64024,McDonald's
2221 Happy Ln MO 64024,0.22,39.332601000000004,-94.274632,Excelsior Springs,MO,64024,McDonald's
119 Crown Hill Rd MO 64024,1.0,39.338702000000005,-94.24901700000001,Excelsior Springs,MO,64024,McDonald's
2221 Happy Ln MO 64024,0.22,39.332601000000004,-94.274632,Excelsior Springs,MO,64024,McDonald's
1700 W Columbia St MO 63640,1.0,37.771109,-90.446821,Farmington,MO,63640,McDonald's
207 W Karsch Blvd MO 63640,1.0,37.788105,-90.422852,Farmington,MO,63640,McDonald's
426 Yellowstone Dr MO 63640,1.0,37.792025,-90.430435,Farmington,MO,63640,McDonald's
1700 W Columbia St MO 63640,1.0,37.771109,-90.446821,Farmington,MO,63640,McDonald's
207 W Karsch Blvd MO 63640,1.0,37.788105,-90.422852,Farmington,MO,63640,McDonald's
426 Yellowstone Dr MO 63640,1.0,37.792025,-90.430435,Farmington,MO,63640,McDonald's
1150 E Gannon Dr MO 63028,1.0,38.209369,-90.401843,Festus,MO,63028,McDonald's
515 S Truman Blvd MO 63028,0.9,38.215018,-90.387496,Festus,MO,63028,McDonald's
650 S Truman Blvd MO 63028,1.0,38.212715,-90.390964,Festus,MO,63028,McDonald's
1150 E Gannon Dr MO 63028,1.0,38.209369,-90.401843,Festus,MO,63028,McDonald's
515 S Truman Blvd MO 63028,0.9,38.215018,-90.387496,Festus,MO,63028,McDonald's
650 S Truman Blvd MO 63028,1.0,38.212715,-90.390964,Festus,MO,63028,McDonald's
12407 Blue Ridge Ext MO 64030,1.0,38.900422999999996,-94.532318,Grandview,MO,64030,McDonald's
5100 Harry Truman Dr MO 64030,1.0,38.89934,-94.533001,Grandview,MO,64030,McDonald's
12407 Blue Ridge Ext MO 64030,1.0,38.900422999999996,-94.532318,Grandview,MO,64030,McDonald's
5100 Harry Truman Dr MO 64030,1.0,38.89934,-94.533001,Grandview,MO,64030,McDonald's
1865 Highway 13 MO 64037,0.33,39.063373999999996,-93.74083,Higginsville,MO,64037,McDonald's
6676 Hwy 13 MO 64037,1.0,39.003561,-93.7351,Higginsville,MO,64037,McDonald's
1865 Highway 13 MO 64037,0.33,39.063373999999996,-93.74083,Higginsville,MO,64037,McDonald's
6676 Hwy 13 MO 64037,1.0,39.003561,-93.7351,Higginsville,MO,64037,McDonald's
11115 E 23rd St S MO 64052,1.0,39.079953,-94.446526,Independence,MO,64052,McDonald's
11700 Us 24 MO 64054,1.0,39.102509999999995,-94.436803,Independence,MO,64054,McDonald's
1401 S Noland Rd MO 64055,1.0,39.075207,-94.413669,Independence,MO,64055,McDonald's
1115 E 23rd St S MO 64055,1.0,39.07853,-94.401387,Independence,MO,64055,McDonald's
11801 E Us-40 MO 64055,0.85,39.045738,-94.441074,Independence,MO,64052,McDonald's
16802 Gudgell Rd MO 64055,1.0,39.071981,-94.379692,Independence,MO,64055,McDonald's
4226 S Noland Rd MO 64055,1.0,39.043189,-94.41564100000001,Independence,MO,64055,McDonald's
18910 Us 40 MO 64055,1.0,39.032112,-94.35651899999999,Independence,MO,64055,McDonald's
4000 Bolger Rd MO 64055,1.0,39.052246999999994,-94.372511,Independence,MO,64055,McDonald's
3921 Bolger Rd MO 64055,0.9,39.047472,-94.36565300000001,Independence,MO,64055,McDonald's
16235 Us 24 E MO 64056,1.0,39.117277,-94.38265899999999,Independence,MO,64056,McDonald's
11115 E 23rd St S MO 64052,1.0,39.079953,-94.446526,Independence,MO,64052,McDonald's
11700 Us 24 MO 64054,1.0,39.102509999999995,-94.436803,Independence,MO,64054,McDonald's
1401 S Noland Rd MO 64055,1.0,39.075207,-94.413669,Independence,MO,64055,McDonald's
1115 E 23rd St S MO 64055,1.0,39.07853,-94.401387,Independence,MO,64055,McDonald's
11801 E Us-40 MO 64055,0.85,39.045738,-94.441074,Independence,MO,64052,McDonald's
16802 Gudgell Rd MO 64055,1.0,39.071981,-94.379692,Independence,MO,64055,McDonald's
4226 S Noland Rd MO 64055,1.0,39.043189,-94.41564100000001,Independence,MO,64055,McDonald's
18910 Us 40 MO 64055,1.0,39.032112,-94.35651899999999,Independence,MO,64055,McDonald's
4000 Bolger Rd MO 64055,1.0,39.052246999999994,-94.372511,Independence,MO,64055,McDonald's
3921 Bolger Rd MO 64055,0.9,39.047472,-94.36565300000001,Independence,MO,64055,McDonald's
16235 Us 24 E MO 64056,1.0,39.117277,-94.38265899999999,Independence,MO,64056,McDonald's
815 Eastland Dr MO 65101,1.0,38.54953,-92.149665,Jefferson City,MO,65101,McDonald's
219 E Dunklin St MO 65101,1.0,38.57163,-92.174964,Jefferson City,MO,65101,McDonald's
1406 Missouri Blvd MO 65109,1.0,38.579288,-92.193426,Jefferson City,MO,65109,McDonald's
1918 Jefferson St MO 65109,1.0,38.553186,-92.199536,Jefferson City,MO,65109,McDonald's
3124 S 10 Mile Dr MO 65109,1.0,38.580579,-92.235171,Jefferson City,MO,65109,McDonald's
1425 Missouri Blvd MO 65109,1.0,38.579114000000004,-92.195151,Jefferson City,MO,65109,McDonald's
724 W Stadium Blvd MO 65109,1.0,38.580086,-92.21929200000001,Jefferson City,MO,65109,McDonald's
2003 Southridge Dr MO 65109,1.0,38.550733,-92.205236,Jefferson City,MO,65109,McDonald's
815 Eastland Dr MO 65101,1.0,38.54953,-92.149665,Jefferson City,MO,65101,McDonald's
219 E Dunklin St MO 65101,1.0,38.57163,-92.174964,Jefferson City,MO,65101,McDonald's
1406 Missouri Blvd MO 65109,1.0,38.579288,-92.193426,Jefferson City,MO,65109,McDonald's
1918 Jefferson St MO 65109,1.0,38.553186,-92.199536,Jefferson City,MO,65109,McDonald's
3124 S 10 Mile Dr MO 65109,1.0,38.580579,-92.235171,Jefferson City,MO,65109,McDonald's
1425 Missouri Blvd MO 65109,1.0,38.579114000000004,-92.195151,Jefferson City,MO,65109,McDonald's
724 W Stadium Blvd MO 65109,1.0,38.580086,-92.21929200000001,Jefferson City,MO,65109,McDonald's
2003 Southridge Dr MO 65109,1.0,38.550733,-92.205236,Jefferson City,MO,65109,McDonald's
1531 W 7th St MO 64801,0.9,37.084975,-94.53068499999999,Joplin,MO,64801,McDonald's
2701 N Main St MO 64801,1.0,37.114956,-94.50954399999999,Joplin,MO,64801,McDonald's
101 N Range Line Rd MO 64801,1.0,37.090685,-94.47699300000001,Joplin,MO,64801,McDonald's
1123 S Range Line Rd MO 64801,1.0,37.079136,-94.477335,Joplin,MO,64801,McDonald's
3330 N Range Line Rd MO 64801,1.0,37.118959000000004,-94.475985,Joplin,MO,64801,McDonald's
2731 S Main St MO 64804,1.0,37.060157000000004,-94.514191,Joplin,MO,64804,McDonald's
1501 S Range Line Rd MO 64804,0.84,37.073063,-94.477141,Joplin,MO,64804,McDonald's
4436 Highway 43 MO 64804,0.6,37.053437,-94.514813,Joplin,MO,64804,McDonald's
3140 Mc Clelland Blvd MO 64804,1.0,37.055898,-94.53275500000001,Joplin,MO,64804,McDonald's
1907 E 20th St MO 64804,1.0,37.069705,-94.493611,Joplin,MO,64804,McDonald's
1531 W 7th St MO 64801,0.9,37.084975,-94.53068499999999,Joplin,MO,64801,McDonald's
2701 N Main St MO 64801,1.0,37.114956,-94.50954399999999,Joplin,MO,64801,McDonald's
101 N Range Line Rd MO 64801,1.0,37.090685,-94.47699300000001,Joplin,MO,64801,McDonald's
