id,strLocation,latitude,longitude,city,state,zip,Store
102 S 9th St MO 65201,1.0,38.950278000000004,-92.32739699999999,Columbia,MO,65201,Panera Bread
3709 S Providence Rd MO 65203,1.0,38.90939,-92.33636899999999,Columbia,MO,65203,Panera Bread
100 Brickton Road MO 65203,0.95,38.948232,-92.29525500000001,Columbia,MO,65201,Panera Bread
598 Columbia Dr MO 65203,0.33,38.88248,-92.397824,Columbia,MO,65203,Panera Bread
2300 Bernadette Dr MO 65203,1.0,38.963767,-92.373859,Columbia,MO,65203,Panera Bread
102 S 9th St MO 65201,1.0,38.950278000000004,-92.32739699999999,Columbia,MO,65201,Panera Bread
3709 S Providence Rd MO 65203,1.0,38.90939,-92.33636899999999,Columbia,MO,65203,Panera Bread
100 Brickton Road MO 65203,0.95,38.948232,-92.29525500000001,Columbia,MO,65201,Panera Bread
598 Columbia Dr MO 65203,0.33,38.88248,-92.397824,Columbia,MO,65203,Panera Bread
2300 Bernadette Dr MO 65203,1.0,38.963767,-92.373859,Columbia,MO,65203,Panera Bread
2214 Missouri Boulevard MO 65109,1.0,38.581828,-92.20888599999999,Jefferson City,MO,65109,Panera Bread
2226 Missouri Blvd MO 65109,1.0,38.581983,-92.209967,Jefferson City,MO,65109,Panera Bread
2214 Missouri Boulevard MO 65109,1.0,38.581828,-92.20888599999999,Jefferson City,MO,65109,Panera Bread
2226 Missouri Blvd MO 65109,1.0,38.581983,-92.209967,Jefferson City,MO,65109,Panera Bread
2405 Grand Blvd MO 64108,1.0,39.081708,-94.581458,Kansas City,MO,64108,Panera Bread
4117 Mill St MO 64111,1.0,39.052009999999996,-94.59179300000001,Kansas City,MO,64111,Panera Bread
4700 Pennsylvania Ave MO 64112,1.0,39.042052000000005,-94.594087,Kansas City,MO,64112,Panera Bread
6301 Brookside Plaza MO 64113,1.0,39.013581,-94.590466,Kansas City,MO,64113,Panera Bread
1128 W 103rd St MO 64114,1.0,38.942294,-94.606306,Kansas City,MO,64114,Panera Bread
311 Ne Englewood Road MO 64118,1.0,39.194128000000006,-94.57889200000001,Kansas City,MO,64118,Panera Bread
6145 Nw Barry Rd MO 64154,1.0,39.246641,-94.649734,Kansas City,MO,64154,Panera Bread
8580 Church Rd MO 64157,0.75,39.246402,-94.459807,Kansas City,MO,64158,Panera Bread
2405 Grand Blvd MO 64108,1.0,39.081708,-94.581458,Kansas City,MO,64108,Panera Bread
4117 Mill St MO 64111,1.0,39.052009999999996,-94.59179300000001,Kansas City,MO,64111,Panera Bread
4700 Pennsylvania Ave MO 64112,1.0,39.042052000000005,-94.594087,Kansas City,MO,64112,Panera Bread
6301 Brookside Plaza MO 64113,1.0,39.013581,-94.590466,Kansas City,MO,64113,Panera Bread
1128 W 103rd St MO 64114,1.0,38.942294,-94.606306,Kansas City,MO,64114,Panera Bread
311 Ne Englewood Road MO 64118,1.0,39.194128000000006,-94.57889200000001,Kansas City,MO,64118,Panera Bread
6145 Nw Barry Rd MO 64154,1.0,39.246641,-94.649734,Kansas City,MO,64154,Panera Bread
8580 Church Rd MO 64157,0.75,39.246402,-94.459807,Kansas City,MO,64158,Panera Bread
3175 West Broadway Boulevard MO 65301,1.0,38.708825,-93.266377,Sedalia,MO,65301,Panera Bread
3171 W Broadway Blvd MO 65301,1.0,38.708783000000004,-93.266285,Sedalia,MO,65301,Panera Bread
3175 West Broadway Boulevard MO 65301,1.0,38.708825,-93.266377,Sedalia,MO,65301,Panera Bread
3171 W Broadway Blvd MO 65301,1.0,38.708783000000004,-93.266285,Sedalia,MO,65301,Panera Bread
500 S National Ave MO 65802,1.0,37.204813,-93.275894,Springfield,MO,65802,Panera Bread
2535 N Kansas Expy MO 65803,1.0,37.243612,-93.312125,Springfield,MO,65803,Panera Bread
1949 E Sunshine St MO 65804,1.0,37.182752,-93.259027,Springfield,MO,65804,Panera Bread
2040 W Vista St MO 65807,1.0,37.165221,-93.32060899999999,Springfield,MO,65807,Panera Bread
1570 W Battlefield St MO 65807,1.0,37.159966,-93.3121,Springfield,MO,65807,Panera Bread
2924 W Sunshine St MO 65807,1.0,37.182567999999996,-93.336477,Springfield,MO,65807,Panera Bread
3837 S Campbell Ave MO 65807,1.0,37.144298,-93.297069,Springfield,MO,65807,Panera Bread
4100 South Campbell Avenue MO 65807,1.0,37.140003,-93.295309,Springfield,MO,65807,Panera Bread
2740 S Austin Ave MO 65807,1.0,37.164815000000004,-93.323257,Springfield,MO,65807,Panera Bread
500 S National Ave MO 65802,1.0,37.204813,-93.275894,Springfield,MO,65802,Panera Bread
2535 N Kansas Expy MO 65803,1.0,37.243612,-93.312125,Springfield,MO,65803,Panera Bread
1949 E Sunshine St MO 65804,1.0,37.182752,-93.259027,Springfield,MO,65804,Panera Bread
2040 W Vista St MO 65807,1.0,37.165221,-93.32060899999999,Springfield,MO,65807,Panera Bread
1570 W Battlefield St MO 65807,1.0,37.159966,-93.3121,Springfield,MO,65807,Panera Bread
2924 W Sunshine St MO 65807,1.0,37.182567999999996,-93.336477,Springfield,MO,65807,Panera Bread
3837 S Campbell Ave MO 65807,1.0,37.144298,-93.297069,Springfield,MO,65807,Panera Bread
4100 South Campbell Avenue MO 65807,1.0,37.140003,-93.295309,Springfield,MO,65807,Panera Bread
2740 S Austin Ave MO 65807,1.0,37.164815000000004,-93.323257,Springfield,MO,65807,Panera Bread
2079 Zumbehl Road MO 63303,1.0,38.783983,-90.535699,Saint Charles,MO,63303,Panera Bread
6185 Mid Rivers Mall Dr MO 63304,1.0,38.742399,-90.63492600000001,Saint Peters,MO,63304,Panera Bread
2079 Zumbehl Road MO 63303,1.0,38.783983,-90.535699,Saint Charles,MO,63303,Panera Bread
6185 Mid Rivers Mall Dr MO 63304,1.0,38.742399,-90.63492600000001,Saint Peters,MO,63304,Panera Bread
116 N 6th St MO 63101,1.0,38.626338,-90.19080600000001,Saint Louis,MO,63101,Panera Bread
2018 S 7th Street MO 63104,1.0,38.606611,-90.202624,Saint Louis,MO,63104,Panera Bread
