location,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"2400 Missouri 291 MO 64057",39.075001,-94.379703,0.85,rooftop,2400,"S M 291 Hwy",,,Independence,MO,"Jackson County",64055,US,Jackson
"2400 Missouri 291 MO 64057",39.075001,-94.379703,0.85,rooftop,2400,"S M 291 Hwy",,,Independence,MO,"Jackson County",64055,US,Jackson
"2400 Missouri 291 MO 64057",39.075001,-94.379703,0.85,rooftop,2400,"S M 291 Hwy",,,Independence,MO,"Jackson County",64055,US,Jackson
"2400 Missouri 291 MO 64057",39.075001,-94.379703,0.85,rooftop,2400,"S M 291 Hwy",,,Independence,MO,"Jackson County",64055,US,Jackson
"9806 W Florissant Ave MO 63136",38.745792,-90.279038,1,rooftop,9806,"W Florissant Ave",,,"Saint Louis",MO,"St. Louis County",63136,US,"St Louis"
"9898 Air Cargo Road MO 63145",38.735497,-90.353257,0.9,range_interpolation,9898,"Air Cargo Rd",,,"Saint Louis",MO,"St. Louis County",63134,US,"TIGER/Line® dataset from the US Census Bureau"
"10701 Lambert International Boulevard MO 63145",38.740629,-90.364819,1,rooftop,10701,"Lambert International Blvd",,,"Saint Louis",MO,"St. Louis County",63145,US,"St Louis"
"9806 W Florissant Ave MO 63136",38.745792,-90.279038,1,rooftop,9806,"W Florissant Ave",,,"Saint Louis",MO,"St. Louis County",63136,US,"St Louis"
"9898 Air Cargo Road MO 63145",38.735497,-90.353257,0.9,range_interpolation,9898,"Air Cargo Rd",,,"Saint Louis",MO,"St. Louis County",63134,US,"TIGER/Line® dataset from the US Census Bureau"
"10701 Lambert International Boulevard MO 63145",38.740629,-90.364819,1,rooftop,10701,"Lambert International Blvd",,,"Saint Louis",MO,"St. Louis County",63145,US,"St Louis"
"33 E Lake St IL 60101",41.931216,-87.987127,1,rooftop,33,"E Lake St",,,Addison,IL,"DuPage County",60101,US,Dupage
"1750 W Lake St IL 60101",41.950451,-88.030146,1,rooftop,1750,"W Lake St",,,Addison,IL,"DuPage County",60101,US,Dupage
"33 E Lake St IL 60101",41.931216,-87.987127,1,rooftop,33,"E Lake St",,,Addison,IL,"DuPage County",60101,US,Dupage
"1750 W Lake St IL 60101",41.950451,-88.030146,1,rooftop,1750,"W Lake St",,,Addison,IL,"DuPage County",60101,US,Dupage
"1319 East Algonquin Road IL 60102",42.161334,-88.276569,1,range_interpolation,1319,"E Algonquin Rd",,,Algonquin,IL,"McHenry County",60102,US,"TIGER/Line® dataset from the US Census Bureau"
"2543 W Algonquin Rd IL 60102",42.175207,-88.33853,1,rooftop,2543,"W Algonquin Rd",,,Algonquin,IL,"McHenry County",60102,US,Mchenry
"1319 East Algonquin Road IL 60102",42.161334,-88.276569,1,range_interpolation,1319,"E Algonquin Rd",,,Algonquin,IL,"McHenry County",60102,US,"TIGER/Line® dataset from the US Census Bureau"
"2543 W Algonquin Rd IL 60102",42.175207,-88.33853,1,rooftop,2543,"W Algonquin Rd",,,Algonquin,IL,"McHenry County",60102,US,Mchenry
"4028 W 127th St IL 60803",41.662231,-87.719755,1,range_interpolation,4028,"W 127th St",,,Alsip,IL,"Cook County",60803,US,"TIGER/Line® dataset from the US Census Bureau"
"12150 S Cicero Ave IL 60803",41.671618,-87.738999,1,range_interpolation,12150,"S Cicero Ave",,,Alsip,IL,"Cook County",60803,US,"TIGER/Line® dataset from the US Census Bureau"
"11817 S Pulaski Rd IL 60803",41.678205,-87.719653,1,range_interpolation,11817,"S Pulaski Rd",,,Alsip,IL,"Cook County",60803,US,"TIGER/Line® dataset from the US Census Bureau"
"4028 W 127th St IL 60803",41.662231,-87.719755,1,range_interpolation,4028,"W 127th St",,,Alsip,IL,"Cook County",60803,US,"TIGER/Line® dataset from the US Census Bureau"
"12150 S Cicero Ave IL 60803",41.671618,-87.738999,1,range_interpolation,12150,"S Cicero Ave",,,Alsip,IL,"Cook County",60803,US,"TIGER/Line® dataset from the US Census Bureau"
"11817 S Pulaski Rd IL 60803",41.678205,-87.719653,1,range_interpolation,11817,"S Pulaski Rd",,,Alsip,IL,"Cook County",60803,US,"TIGER/Line® dataset from the US Census Bureau"
"440 Orchard Street IL 60002",42.478986,-88.098421,1,range_interpolation,440,"Orchard St",,,Antioch,IL,"Lake County",60002,US,"TIGER/Line® dataset from the US Census Bureau"
"442 Orchard St IL 60002",42.478896,-88.099041,1,rooftop,442,"Orchard St",,,Antioch,IL,"Lake County",60002,US,Lake
"440 Orchard Street IL 60002",42.478986,-88.098421,1,range_interpolation,440,"Orchard St",,,Antioch,IL,"Lake County",60002,US,"TIGER/Line® dataset from the US Census Bureau"
"442 Orchard St IL 60002",42.478896,-88.099041,1,rooftop,442,"Orchard St",,,Antioch,IL,"Lake County",60002,US,Lake
"105 W Dundee Rd IL 60004",42.138571,-87.960469,1,rooftop,105,"W Dundee Rd",,,"Arlington Heights",IL,"Cook County",60004,US,Cook
"1818 West Northwest Highway IL 60004",42.11278,-87.979542,0.22,place,,,,,"Arlington Heights",IL,"Cook County",60004,US,"TIGER/Line® dataset from the US Census Bureau"
"4204 N Arlington Heights Rd Ste F IL 60004",42.151816,-87.98534,1,rooftop,4204,"N Arlington Heights Rd",Ste,F,"Arlington Heights",IL,"Cook County",60004,US,Cook
"[700-798] W Dundee Rd IL 60004",42.139264,-87.995691,1,range_interpolation,700,"W Dundee Rd",,,"Arlington Heights",IL,"Cook County",60004,US,"TIGER/Line® dataset from the US Census Bureau"
"1010 E Rand Rd IL 60004",42.106252,-87.970425,1,rooftop,1010,"E Rand Rd",,,"Arlington Heights",IL,"Cook County",60004,US,Cook
"2106 S Arlington Heights Rd IL 60005",42.047078,-87.983204,1,rooftop,2106,"S Arlington Heights Rd",,,"Arlington Heights",IL,"Cook County",60005,US,Cook
"122 S Arlington Heights Rd IL 60005",42.08,-87.980787,1,rooftop,122,"S Arlington Heights Rd",,,"Arlington Heights",IL,"Cook County",60005,US,Cook
"105 W Dundee Rd IL 60004",42.138571,-87.960469,1,rooftop,105,"W Dundee Rd",,,"Arlington Heights",IL,"Cook County",60004,US,Cook
"1818 West Northwest Highway IL 60004",42.11278,-87.979542,0.22,place,,,,,"Arlington Heights",IL,"Cook County",60004,US,"TIGER/Line® dataset from the US Census Bureau"
"4204 N Arlington Heights Rd Ste F IL 60004",42.151816,-87.98534,1,rooftop,4204,"N Arlington Heights Rd",Ste,F,"Arlington Heights",IL,"Cook County",60004,US,Cook
"[700-798] W Dundee Rd IL 60004",42.139264,-87.995691,1,range_interpolation,700,"W Dundee Rd",,,"Arlington Heights",IL,"Cook County",60004,US,"TIGER/Line® dataset from the US Census Bureau"
"1010 E Rand Rd IL 60004",42.106252,-87.970425,1,rooftop,1010,"E Rand Rd",,,"Arlington Heights",IL,"Cook County",60004,US,Cook
"2106 S Arlington Heights Rd IL 60005",42.047078,-87.983204,1,rooftop,2106,"S Arlington Heights Rd",,,"Arlington Heights",IL,"Cook County",60005,US,Cook
"122 S Arlington Heights Rd IL 60005",42.08,-87.980787,1,rooftop,122,"S Arlington Heights Rd",,,"Arlington Heights",IL,"Cook County",60005,US,Cook
"2681 East New York Street IL 60502",41.757992,-88.251083,1,rooftop,2681,"E New York St",,,Aurora,IL,"DuPage County",60502,US,"City of Aurora"
"2933 Kirk Road IL 60502",41.815512,-88.279028,1,rooftop,2933,"Kirk Rd",,,Aurora,IL,"Kane County",60502,US,"City of Aurora"
"1237 N Eola Rd IL 60502",41.782562,-88.240013,1,rooftop,1237,"N Eola Rd",,,Aurora,IL,"DuPage County",60502,US,"City of Aurora"
"2380 S Eola Rd IL 60503",41.711141,-88.253442,1,rooftop,2380,"S Eola Rd",,,Aurora,IL,"Will County",60503,US,"City of Aurora"
"3999 75th Street IL 60504",41.746423,-88.216307,1,rooftop,3999,"75th St",,,Aurora,IL,"DuPage County",60504,US,"City of Aurora"
"1255 N Farnsworth Ave IL 60505",41.783496,-88.281496,1,rooftop,1255,"N Farnsworth Ave",,,Aurora,IL,"Kane County",60505,US,"City of Aurora"
"3 N Smith St IL 60505",41.752596,-88.293387,1,rooftop,3,"N Smith St",,,Aurora,IL,"Kane County",60505,US,"City of Aurora"
"2112 W Galena Blvd IL 60506",41.763579,-88.367587,1,rooftop,2112,"W Galena Blvd",,,Aurora,IL,"Kane County",60506,US,"City of Aurora"
"2681 East New York Street IL 60502",41.757992,-88.251083,1,rooftop,2681,"E New York St",,,Aurora,IL,"DuPage County",60502,US,"City of Aurora"
"2933 Kirk Road IL 60502",41.815512,-88.279028,1,rooftop,2933,"Kirk Rd",,,Aurora,IL,"Kane County",60502,US,"City of Aurora"
"1237 N Eola Rd IL 60502",41.782562,-88.240013,1,rooftop,1237,"N Eola Rd",,,Aurora,IL,"DuPage County",60502,US,"City of Aurora"
"2380 S Eola Rd IL 60503",41.711141,-88.253442,1,rooftop,2380,"S Eola Rd",,,Aurora,IL,"Will County",60503,US,"City of Aurora"
"3999 75th Street IL 60504",41.746423,-88.216307,1,rooftop,3999,"75th St",,,Aurora,IL,"DuPage County",60504,US,"City of Aurora"
"1255 N Farnsworth Ave IL 60505",41.783496,-88.281496,1,rooftop,1255,"N Farnsworth Ave",,,Aurora,IL,"Kane County",60505,US,"City of Aurora"
"3 N Smith St IL 60505",41.752596,-88.293387,1,rooftop,3,"N Smith St",,,Aurora,IL,"Kane County",60505,US,"City of Aurora"
"2112 W Galena Blvd IL 60506",41.763579,-88.367587,1,rooftop,2112,"W Galena Blvd",,,Aurora,IL,"Kane County",60506,US,"City of Aurora"
"5590 County Farm Road IL 60103",41.97413,-88.151049,1,rooftop,5590,"County Farm Rd",,,Bartlett,IL,"DuPage County",60103,US,Dupage
"225 E Lake St IL 60103",42.002564,-88.18151,1,rooftop,225,"E Lake St",,,Bartlett,IL,"Cook County",60103,US,Cook
"751 S Il Route 59 IL 60103",41.977639,-88.20786,0.3,nearest_rooftop_match,800,"S Route 59",,,Bartlett,IL,"DuPage County",60103,US,Dupage
"5590 County Farm Road IL 60103",41.97413,-88.151049,1,rooftop,5590,"County Farm Rd",,,Bartlett,IL,"DuPage County",60103,US,Dupage
"225 E Lake St IL 60103",42.002564,-88.18151,1,rooftop,225,"E Lake St",,,Bartlett,IL,"Cook County",60103,US,Cook
"751 S Il Route 59 IL 60103",41.977639,-88.20786,0.3,nearest_rooftop_match,800,"S Route 59",,,Bartlett,IL,"DuPage County",60103,US,Dupage
"1100 Il Route 83 IL 60106",41.959701,-87.941835,0.33,place,,,,,Bensenville,IL,"DuPage County",60106,US,"TIGER/Line® dataset from the US Census Bureau"
"1004 W Irving Park Rd IL 60106",41.960607,-87.955453,1,rooftop,1004,"W Irving Park Rd",,,Bensenville,IL,"DuPage County",60106,US,Dupage
"1100 Il Route 83 IL 60106",41.959701,-87.941835,0.33,place,,,,,Bensenville,IL,"DuPage County",60106,US,"TIGER/Line® dataset from the US Census Bureau"
"1004 W Irving Park Rd IL 60106",41.960607,-87.955453,1,rooftop,1004,"W Irving Park Rd",,,Bensenville,IL,"DuPage County",60106,US,Dupage
"5725 Saint Charles Road IL 60163",41.889099,-87.911516,1,rooftop,5725,"St Charles Rd",,,Berkeley,IL,"Cook County",60163,US,Cook
"5525 Saint Charles Rd IL 60163",41.888752,-87.906349,1,rooftop,5525,"St Charles Rd",,,Berkeley,IL,"Cook County",60163,US,Cook
"5725 Saint Charles Road IL 60163",41.889099,-87.911516,1,rooftop,5725,"St Charles Rd",,,Berkeley,IL,"Cook County",60163,US,Cook
"5525 Saint Charles Rd IL 60163",41.888752,-87.906349,1,rooftop,5525,"St Charles Rd",,,Berkeley,IL,"Cook County",60163,US,Cook
"4501 Harlem Avenue IL 60402",41.81047,-87.802111,1,range_interpolation,4501,"Harlem Ave",,,Berwyn,IL,"Cook County",60402,US,"TIGER/Line® dataset from the US Census Bureau"
"6601 Cermak Rd IL 60402",41.850183,-87.788671,1,rooftop,6601,"Cermak Rd",,,Berwyn,IL,"Cook County",60402,US,Cook
"2945 Harlem Ave IL 60402",41.838652,-87.803095,1,range_interpolation,2945,"Harlem Ave",,,Berwyn,IL,"Cook County",60402,US,"TIGER/Line® dataset from the US Census Bureau"
"7020 Ogden Ave IL 60402",41.824983,-87.79829,1,rooftop,7020,"Ogden Ave",,,Berwyn,IL,"Cook County",60402,US,Cook
"4501 Harlem Avenue IL 60402",41.81047,-87.802111,1,range_interpolation,4501,"Harlem Ave",,,Berwyn,IL,"Cook County",60402,US,"TIGER/Line® dataset from the US Census Bureau"
"6601 Cermak Rd IL 60402",41.850183,-87.788671,1,rooftop,6601,"Cermak Rd",,,Berwyn,IL,"Cook County",60402,US,Cook
"2945 Harlem Ave IL 60402",41.838652,-87.803095,1,range_interpolation,2945,"Harlem Ave",,,Berwyn,IL,"Cook County",60402,US,"TIGER/Line® dataset from the US Census Bureau"
"7020 Ogden Ave IL 60402",41.824983,-87.79829,1,rooftop,7020,"Ogden Ave",,,Berwyn,IL,"Cook County",60402,US,Cook
"169 E Lake St IL 60108",41.958076,-88.073912,1,rooftop,169,"E Lake St",,,Bloomingdale,IL,"DuPage County",60108,US,Dupage
"142 S Gary Ave Ste 109 IL 60108",41.947081,-88.122623,1,rooftop,142,"S Gary Ave",Ste,109,Bloomingdale,IL,"DuPage County",60108,US,Dupage
"169 E Lake St IL 60108",41.958076,-88.073912,1,rooftop,169,"E Lake St",,,Bloomingdale,IL,"DuPage County",60108,US,Dupage
"142 S Gary Ave Ste 109 IL 60108",41.947081,-88.122623,1,rooftop,142,"S Gary Ave",Ste,109,Bloomingdale,IL,"DuPage County",60108,US,Dupage
"2306 E Oakland Ave IL 61701",40.474082,-88.959175,1,rooftop,2306,"E Oakland Ave",,,Bloomington,IL,"McLean County",61701,US,Mclean
"2225 W Market St IL 61704",40.484573,-89.024823,1,range_interpolation,2225,"W Market St",,,Bloomington,IL,"McLean County",61704,US,"TIGER/Line® dataset from the US Census Bureau"
"2306 E Oakland Ave IL 61701",40.474082,-88.959175,1,rooftop,2306,"E Oakland Ave",,,Bloomington,IL,"McLean County",61701,US,Mclean
"2225 W Market St IL 61704",40.484573,-89.024823,1,range_interpolation,2225,"W Market St",,,Bloomington,IL,"McLean County",61704,US,"TIGER/Line® dataset from the US Census Bureau"
"2323 Burr Oak Ave IL 60406",41.662567,-87.678889,1,range_interpolation,2323,"Burr Oak Ave",,,"Blue Island",IL,"Cook County",60406,US,"TIGER/Line® dataset from the US Census Bureau"
"13101 Western Ave IL 60406",41.655327,-87.679846,1,rooftop,13101,"Western Ave",,,"Blue Island",IL,"Cook County",60406,US,Cook
"2323 Burr Oak Ave IL 60406",41.662567,-87.678889,1,range_interpolation,2323,"Burr Oak Ave",,,"Blue Island",IL,"Cook County",60406,US,"TIGER/Line® dataset from the US Census Bureau"
"13101 Western Ave IL 60406",41.655327,-87.679846,1,rooftop,13101,"Western Ave",,,"Blue Island",IL,"Cook County",60406,US,Cook
"1255 W Boughton Rd IL 60440",41.70262,-88.12341,1,rooftop,1255,"W Boughton Rd",,,Bolingbrook,IL,"Will County",60440,US,Will
"595 N Pinecrest Rd Ste E IL 60440",41.71736,-88.051157,1,rooftop,595,"N Pinecrest Rd",Ste,,Bolingbrook,IL,"Will County",60440,US,Will
"245 S Bolingbrook Dr IL 60440",41.693457,-88.068676,1,rooftop,245,"S Bolingbrook Dr",,,Bolingbrook,IL,"Will County",60440,US,Will
"760 South Weber Road IL 60490",41.6725,-88.124591,1,rooftop,760,"S Weber Rd",,,Bolingbrook,IL,"Will County",60490,US,Will
"1255 W Boughton Rd IL 60440",41.70262,-88.12341,1,rooftop,1255,"W Boughton Rd",,,Bolingbrook,IL,"Will County",60440,US,Will
"595 N Pinecrest Rd Ste E IL 60440",41.71736,-88.051157,1,rooftop,595,"N Pinecrest Rd",Ste,,Bolingbrook,IL,"Will County",60440,US,Will
"245 S Bolingbrook Dr IL 60440",41.693457,-88.068676,1,rooftop,245,"S Bolingbrook Dr",,,Bolingbrook,IL,"Will County",60440,US,Will
"760 South Weber Road IL 60490",41.6725,-88.124591,1,rooftop,760,"S Weber Rd",,,Bolingbrook,IL,"Will County",60490,US,Will
"1697 Weiland Rd IL 60089",42.181787,-87.948157,1,rooftop,1697,"Weiland Rd",,,"Buffalo Grove",IL,"Lake County",60089,US,Lake
