location,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"3996 Jeffco Blvd MO 63010",38.40569,-90.376802,1,rooftop,3996,"Jeffco Blvd",,,Arnold,MO,"Jefferson County",63010,US,Jefferson
"130 Arnold Crossroads Ctr MO 63010",38.445494,-90.374454,0.88,nearest_rooftop_match,120,"Arnold Crossroads Ctr",,,Arnold,MO,"Jefferson County",63010,US,Jefferson
"2201 Michigan Ave MO 63010",38.43704,-90.377478,1,rooftop,2201,"Michigan Ave",,,Arnold,MO,"Jefferson County",63010,US,Jefferson
"2005 Richardson Rd MO 63010",38.418379,-90.390784,1,rooftop,2005,"Richardson Rd",,,Arnold,MO,"Jefferson County",63010,US,Jefferson
"3996 Jeffco Blvd MO 63010",38.40569,-90.376802,1,rooftop,3996,"Jeffco Blvd",,,Arnold,MO,"Jefferson County",63010,US,Jefferson
"130 Arnold Crossroads Ctr MO 63010",38.445494,-90.374454,0.88,nearest_rooftop_match,120,"Arnold Crossroads Ctr",,,Arnold,MO,"Jefferson County",63010,US,Jefferson
"2201 Michigan Ave MO 63010",38.43704,-90.377478,1,rooftop,2201,"Michigan Ave",,,Arnold,MO,"Jefferson County",63010,US,Jefferson
"2005 Richardson Rd MO 63010",38.418379,-90.390784,1,rooftop,2005,"Richardson Rd",,,Arnold,MO,"Jefferson County",63010,US,Jefferson
"15204 Manchester Rd MO 63011",38.592406,-90.55378,1,rooftop,15204,"Manchester Rd",,,Ballwin,MO,"St. Louis County",63011,US,"St Louis"
"14026 Manchester Rd MO 63011",38.594645,-90.492282,1,rooftop,14026,"Manchester Rd",,,Ballwin,MO,"St. Louis County",63011,US,"St Louis"
"13901 Manchester Rd MO 63011",38.600255,-90.485232,1,rooftop,13901,"Manchester Rd",,,Ballwin,MO,"St. Louis County",63011,US,"St Louis"
"15924 Manchester Rd MO 63011",38.592294,-90.587579,1,rooftop,15924,"Manchester Rd",,,Ellisville,MO,"St. Louis County",63011,US,"St Louis"
"15204 Manchester Rd MO 63011",38.592406,-90.55378,1,rooftop,15204,"Manchester Rd",,,Ballwin,MO,"St. Louis County",63011,US,"St Louis"
"14026 Manchester Rd MO 63011",38.594645,-90.492282,1,rooftop,14026,"Manchester Rd",,,Ballwin,MO,"St. Louis County",63011,US,"St Louis"
"13901 Manchester Rd MO 63011",38.600255,-90.485232,1,rooftop,13901,"Manchester Rd",,,Ballwin,MO,"St. Louis County",63011,US,"St Louis"
"15924 Manchester Rd MO 63011",38.592294,-90.587579,1,rooftop,15924,"Manchester Rd",,,Ellisville,MO,"St. Louis County",63011,US,"St Louis"
"1500 Sw State Route 7 MO 64014",39.035975,-94.271045,1,rooftop,1500,"NW 7 Hwy",,,"Blue Springs",MO,"Jackson County",64014,US,Jackson
"814 Nw State Route 7 MO 64014",39.028058,-94.271318,1,rooftop,814,"NW 7 Hwy",,,"Blue Springs",MO,"Jackson County",64014,US,Jackson
"4491 Sw State Route 7 MO 64014",39.00569,-94.252933,0.33,place,,,,,"Blue Springs",MO,"Jackson County",64014,US,"TIGER/Line® dataset from the US Census Bureau"
"1515 Nw Woods Chapel Rd MO 64015",39.033135,-94.305986,1,rooftop,1515,"NW Woods Chapel Rd",,,"Blue Springs",MO,"Jackson County",64015,US,Jackson
"920 SW US Highway 40 MO 64015",39.008868,-94.276729,1,rooftop,920,"SW Eastbound Us 40 Hwy",,,"Blue Springs",MO,"Jackson County",64015,US,Jackson
"1500 Sw State Route 7 MO 64014",39.035975,-94.271045,1,rooftop,1500,"NW 7 Hwy",,,"Blue Springs",MO,"Jackson County",64014,US,Jackson
