location,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"1650 Clarkson Road MO 63017",38.644424,-90.564474,1,rooftop,1650,"Clarkson Rd",,,Chesterfield,MO,"St. Louis County",63017,US,"St Louis"
"46 Four Seasons Shopping Center MO 63017",38.649052,-90.535804,0.22,place,,,,,Chesterfield,MO,"St. Louis County",63017,US,"TIGER/Line® dataset from the US Census Bureau"
"238 Chesterfield Mall MO 63017",38.651667,-90.564599,1,rooftop,238,"Chesterfield Mall",,,Chesterfield,MO,"St. Louis County",63017,US,"St Louis"
"1650 Clarkson Road MO 63017",38.644424,-90.564474,1,rooftop,1650,"Clarkson Rd",,,Chesterfield,MO,"St. Louis County",63017,US,"St Louis"
"46 Four Seasons Shopping Center MO 63017",38.649052,-90.535804,0.22,place,,,,,Chesterfield,MO,"St. Louis County",63017,US,"TIGER/Line® dataset from the US Census Bureau"
"238 Chesterfield Mall MO 63017",38.651667,-90.564599,1,rooftop,238,"Chesterfield Mall",,,Chesterfield,MO,"St. Louis County",63017,US,"St Louis"
"102 S 9th St MO 65201",38.950278,-92.327397,1,rooftop,102,"S 9th St",,,Columbia,MO,"Boone County",65201,US,Boone
"3709 S Providence Rd MO 65203",38.90939,-92.336369,1,rooftop,3709,"S Providence Rd",,,Columbia,MO,"Boone County",65203,US,Boone
"100 Brickton Road MO 65203",38.948232,-92.295255,0.95,rooftop,100,"Brickton Rd",,,Columbia,MO,"Boone County",65201,US,Boone
"598 Columbia Dr MO 65203",38.88248,-92.397824,0.33,place,,,,,Columbia,MO,"Boone County",65203,US,"TIGER/Line® dataset from the US Census Bureau"
"2300 Bernadette Dr MO 65203",38.963767,-92.373859,1,rooftop,2300,"Bernadette Dr",,,Columbia,MO,"Boone County",65203,US,Boone
"102 S 9th St MO 65201",38.950278,-92.327397,1,rooftop,102,"S 9th St",,,Columbia,MO,"Boone County",65201,US,Boone
"3709 S Providence Rd MO 65203",38.90939,-92.336369,1,rooftop,3709,"S Providence Rd",,,Columbia,MO,"Boone County",65203,US,Boone
"100 Brickton Road MO 65203",38.948232,-92.295255,0.95,rooftop,100,"Brickton Rd",,,Columbia,MO,"Boone County",65201,US,Boone
"598 Columbia Dr MO 65203",38.88248,-92.397824,0.33,place,,,,,Columbia,MO,"Boone County",65203,US,"TIGER/Line® dataset from the US Census Bureau"
"2300 Bernadette Dr MO 65203",38.963767,-92.373859,1,rooftop,2300,"Bernadette Dr",,,Columbia,MO,"Boone County",65203,US,Boone
"2214 Missouri Boulevard MO 65109",38.581828,-92.208886,1,rooftop,2214,"Missouri Blvd",,,"Jefferson City",MO,"Cole County",65109,US,Cole
"2226 Missouri Blvd MO 65109",38.581983,-92.209967,1,rooftop,2226,"Missouri Blvd",,,"Jefferson City",MO,"Cole County",65109,US,Cole
"2214 Missouri Boulevard MO 65109",38.581828,-92.208886,1,rooftop,2214,"Missouri Blvd",,,"Jefferson City",MO,"Cole County",65109,US,Cole
"2226 Missouri Blvd MO 65109",38.581983,-92.209967,1,rooftop,2226,"Missouri Blvd",,,"Jefferson City",MO,"Cole County",65109,US,Cole
"2405 Grand Blvd MO 64108",39.081708,-94.581458,1,rooftop,2405,"Grand Blvd",,,"Kansas City",MO,"Jackson County",64108,US,"City of Kansas City"
"4117 Mill St MO 64111",39.05201,-94.591793,1,rooftop,4117,"Mill St",,,"Kansas City",MO,"Jackson County",64111,US,Jackson
"4700 Pennsylvania Ave MO 64112",39.042052,-94.594087,1,rooftop,4700,"Pennsylvania Ave",,,"Kansas City",MO,"Jackson County",64112,US,"City of Kansas City"
"6301 Brookside Plaza MO 64113",39.013581,-94.590466,1,rooftop,6301,"Brookside Plz",,,"Kansas City",MO,"Jackson County",64113,US,"City of Kansas City"
"1128 W 103rd St MO 64114",38.942294,-94.606306,1,rooftop,1128,"W 103rd St",,,"Kansas City",MO,"Jackson County",64114,US,Jackson
"311 Ne Englewood Road MO 64118",39.194128,-94.578892,1,rooftop,311,"NE Englewood Rd",,,"Kansas City",MO,"Clay County",64118,US,"City of Kansas City"
"6145 Nw Barry Rd MO 64154",39.246641,-94.649734,1,range_interpolation,6145,"NW Barry Rd",,,"Kansas City",MO,"Platte County",64154,US,"TIGER/Line® dataset from the US Census Bureau"
"8580 Church Rd MO 64157",39.246402,-94.459807,0.75,rooftop,8580,"N Church Rd",,,"Kansas City",MO,"Clay County",64158,US,"City of Kansas City"
"2405 Grand Blvd MO 64108",39.081708,-94.581458,1,rooftop,2405,"Grand Blvd",,,"Kansas City",MO,"Jackson County",64108,US,"City of Kansas City"
"4117 Mill St MO 64111",39.05201,-94.591793,1,rooftop,4117,"Mill St",,,"Kansas City",MO,"Jackson County",64111,US,Jackson
"4700 Pennsylvania Ave MO 64112",39.042052,-94.594087,1,rooftop,4700,"Pennsylvania Ave",,,"Kansas City",MO,"Jackson County",64112,US,"City of Kansas City"
"6301 Brookside Plaza MO 64113",39.013581,-94.590466,1,rooftop,6301,"Brookside Plz",,,"Kansas City",MO,"Jackson County",64113,US,"City of Kansas City"
"1128 W 103rd St MO 64114",38.942294,-94.606306,1,rooftop,1128,"W 103rd St",,,"Kansas City",MO,"Jackson County",64114,US,Jackson
"311 Ne Englewood Road MO 64118",39.194128,-94.578892,1,rooftop,311,"NE Englewood Rd",,,"Kansas City",MO,"Clay County",64118,US,"City of Kansas City"
"6145 Nw Barry Rd MO 64154",39.246641,-94.649734,1,range_interpolation,6145,"NW Barry Rd",,,"Kansas City",MO,"Platte County",64154,US,"TIGER/Line® dataset from the US Census Bureau"
"8580 Church Rd MO 64157",39.246402,-94.459807,0.75,rooftop,8580,"N Church Rd",,,"Kansas City",MO,"Clay County",64158,US,"City of Kansas City"
"3175 West Broadway Boulevard MO 65301",38.708825,-93.266377,1,range_interpolation,3175,"W Broadway Blvd",,,Sedalia,MO,"Pettis County",65301,US,"TIGER/Line® dataset from the US Census Bureau"
"3171 W Broadway Blvd MO 65301",38.708783,-93.266285,1,range_interpolation,3171,"W Broadway Blvd",,,Sedalia,MO,"Pettis County",65301,US,"TIGER/Line® dataset from the US Census Bureau"
"3175 West Broadway Boulevard MO 65301",38.708825,-93.266377,1,range_interpolation,3175,"W Broadway Blvd",,,Sedalia,MO,"Pettis County",65301,US,"TIGER/Line® dataset from the US Census Bureau"
"3171 W Broadway Blvd MO 65301",38.708783,-93.266285,1,range_interpolation,3171,"W Broadway Blvd",,,Sedalia,MO,"Pettis County",65301,US,"TIGER/Line® dataset from the US Census Bureau"
"500 S National Ave MO 65802",37.204813,-93.275894,1,rooftop,500,"S National Ave",,,Springfield,MO,"Greene County",65802,US,Greene
"2535 N Kansas Expy MO 65803",37.243612,-93.312125,1,rooftop,2535,"N Kansas Expy",,,Springfield,MO,"Greene County",65803,US,Greene
"1949 E Sunshine St MO 65804",37.182752,-93.259027,1,rooftop,1949,"E Sunshine St",,,Springfield,MO,"Greene County",65804,US,Greene
"2040 W Vista St MO 65807",37.165221,-93.320609,1,rooftop,2040,"W Vista St",,,Springfield,MO,"Greene County",65807,US,Greene
"1570 W Battlefield St MO 65807",37.159966,-93.3121,1,range_interpolation,1570,"W Battlefield St",,,Springfield,MO,"Greene County",65807,US,"TIGER/Line® dataset from the US Census Bureau"
"2924 W Sunshine St MO 65807",37.182568,-93.336477,1,range_interpolation,2924,"W Sunshine St",,,Springfield,MO,"Greene County",65807,US,"TIGER/Line® dataset from the US Census Bureau"
"3837 S Campbell Ave MO 65807",37.144298,-93.297069,1,rooftop,3837,"S Campbell Ave",,,Springfield,MO,"Greene County",65807,US,Greene
"4100 South Campbell Avenue MO 65807",37.140003,-93.295309,1,rooftop,4100,"S Campbell Ave",,,Springfield,MO,"Greene County",65807,US,Greene
"2740 S Austin Ave MO 65807",37.164815,-93.323257,1,rooftop,2740,"S Austin Ave",,,Springfield,MO,"Greene County",65807,US,Greene
"500 S National Ave MO 65802",37.204813,-93.275894,1,rooftop,500,"S National Ave",,,Springfield,MO,"Greene County",65802,US,Greene
