offer_id,gender,age,became_member_on,income,reward,channels,difficulty,duration,offer_type,paid,offer_received,offer_viewed,offer_viewed_y_n,offer_completed,offer_completed_y_n
7,2,33.0,791,72000.0,0.0,1,0.0,3.0,1,0.0,168,77,0,17,1
2,2,33.0,791,72000.0,0.0,2,0.0,4.0,1,0.0,336,1,0,17,1
8,2,33.0,791,72000.0,5.0,0,5.0,5.0,0,8.57,408,23,0,24,0
6,2,33.0,791,72000.0,2.0,0,10.0,10.0,2,14.11,504,6,0,6,0
3,2,33.0,791,72000.0,2.0,2,10.0,7.0,2,10.27,576,64,0,65,0
2,1,40.0,1607,57000.0,0.0,2,0.0,4.0,1,0.0,0,106,0,17,1
0,1,40.0,1607,57000.0,3.0,0,7.0,7.0,2,11.93,168,103,0,26,0
7,1,40.0,1607,57000.0,0.0,1,0.0,3.0,1,0.0,336,115,0,17,1
4,1,40.0,1607,57000.0,5.0,3,20.0,10.0,2,0.0,408,113,0,17,1
5,1,40.0,1607,57000.0,5.0,2,5.0,7.0,0,0.0,504,36,0,65,0
6,0,59.0,1571,90000.0,2.0,0,10.0,10.0,2,17.63,0,28,0,51,0
1,0,59.0,1571,90000.0,10.0,1,10.0,7.0,0,0.0,168,74,0,17,1
6,0,59.0,1571,90000.0,2.0,0,10.0,10.0,2,0.0,336,34,0,17,1
9,0,59.0,1571,90000.0,10.0,0,10.0,5.0,0,0.0,408,11,0,17,1
7,0,59.0,1571,90000.0,0.0,1,0.0,3.0,1,0.0,504,30,0,31,0
0,0,24.0,831,60000.0,3.0,0,7.0,7.0,2,11.65,168,78,0,64,0
8,0,24.0,831,60000.0,5.0,0,5.0,5.0,0,14.53,336,82,0,84,0
7,0,24.0,831,60000.0,0.0,1,0.0,3.0,1,0.0,408,34,0,17,1
5,0,24.0,831,60000.0,5.0,2,5.0,7.0,0,10.32,504,52,0,52,0
7,0,26.0,995,73000.0,0.0,1,0.0,3.0,1,0.0,0,79,0,17,1
6,0,26.0,995,73000.0,2.0,0,10.0,10.0,2,0.0,168,66,0,17,1
2,0,26.0,995,73000.0,0.0,2,0.0,4.0,1,3.66,336,1,0,87,0
6,0,26.0,995,73000.0,2.0,0,10.0,10.0,2,0.0,408,41,0,17,1
4,0,26.0,995,73000.0,5.0,3,20.0,10.0,2,5.01,504,27,0,28,0
7,0,19.0,902,65000.0,0.0,1,0.0,3.0,1,0.0,0,79,0,17,1
6,0,19.0,902,65000.0,2.0,0,10.0,10.0,2,16.97,168,103,0,29,0
4,0,19.0,902,65000.0,5.0,3,20.0,10.0,2,0.0,336,34,0,17,1
3,0,19.0,902,65000.0,2.0,2,10.0,7.0,2,0.0,408,64,0,17,1
3,0,19.0,902,65000.0,2.0,2,10.0,7.0,2,0.0,576,71,1,17,1
2,0,55.0,1372,74000.0,0.0,2,0.0,4.0,1,0.0,168,27,0,17,1
8,0,55.0,1372,74000.0,5.0,0,5.0,5.0,0,27.92,504,30,0,115,0
6,0,55.0,1372,74000.0,2.0,0,10.0,10.0,2,19.93,576,64,0,109,0
6,2,54.0,307,99000.0,2.0,0,10.0,10.0,2,43.21,168,56,0,64,0
1,2,54.0,307,99000.0,10.0,1,10.0,7.0,0,25.61,336,74,0,74,0
8,2,54.0,307,99000.0,5.0,0,5.0,5.0,0,22.82,408,34,0,113,0
8,2,54.0,307,99000.0,5.0,0,5.0,5.0,0,35.91,504,36,0,62,0
6,2,54.0,307,99000.0,2.0,0,10.0,10.0,2,33.67,576,64,0,65,0
1,2,56.0,421,47000.0,10.0,1,10.0,7.0,0,0.0,0,39,0,17,1
1,2,56.0,421,47000.0,10.0,1,10.0,7.0,0,0.0,168,103,0,17,1
3,2,56.0,421,47000.0,2.0,2,10.0,7.0,2,0.0,408,27,0,17,1
5,2,56.0,421,47000.0,5.0,2,5.0,7.0,0,0.0,504,64,0,17,1
1,2,56.0,421,47000.0,10.0,1,10.0,7.0,0,9.03,576,64,0,53,0
5,2,54.0,647,91000.0,5.0,2,5.0,7.0,0,27.86,0,15,0,13,0
4,2,54.0,647,91000.0,5.0,3,20.0,10.0,2,27.59,408,23,0,24,0
2,2,54.0,647,91000.0,0.0,2,0.0,4.0,1,0.0,504,6,0,17,1
0,2,54.0,647,91000.0,3.0,0,7.0,7.0,2,29.77,576,64,0,65,0
1,0,58.0,620,119000.0,10.0,1,10.0,7.0,0,27.26,0,28,0,30,0
4,0,58.0,620,119000.0,5.0,3,20.0,10.0,2,28.73,168,69,0,70,0
9,0,58.0,620,119000.0,10.0,0,10.0,5.0,0,17.86,336,73,0,73,0
2,0,58.0,620,119000.0,0.0,2,0.0,4.0,1,0.0,408,27,0,17,1
3,0,58.0,620,119000.0,2.0,2,10.0,7.0,2,21.35,504,116,0,115,0
4,0,58.0,620,119000.0,5.0,3,20.0,10.0,2,21.59,576,75,0,75,0
7,0,28.0,784,68000.0,0.0,1,0.0,3.0,1,0.0,0,31,0,17,1
2,0,28.0,784,68000.0,0.0,2,0.0,4.0,1,0.0,168,78,0,17,1
5,0,28.0,784,68000.0,5.0,2,5.0,7.0,0,19.24,336,82,0,49,0
5,0,28.0,784,68000.0,5.0,2,5.0,7.0,0,8.95,408,88,0,88,0
2,0,28.0,784,68000.0,0.0,2,0.0,4.0,1,0.0,504,118,0,17,1
